title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
random,-0.5321846,0.0033407868,-0.06391422,-0.25778297,-0.91536033,1.0447233,-0.9289073,-0.21003714,-0.68953675,0.07400464,-1.8592141,-0.7363233,0.81571114,-0.76051635,0.7995371,-0.89499295,-0.03923915,-0.29334074,-0.021632887,-1.020375,-1.787233,-0.83795774,0.105218835,0.39978936,2.328639,0.58453894,-0.93126214,0.88260335,-0.053557515,0.63914156,-0.6538227,-0.6485314
random,-0.2703327,0.22794478,-0.31625566,-0.6784597,-2.050274,1.6245617,-2.0319214,-0.10799711,-2.4167476,1.6629214,-4.0711007,-1.2502109,2.0381374,-2.9820483,1.6285759,-1.6986461,-0.4268446,-0.83952117,0.42593473,-2.117408,-3.303605,-1.3888949,-0.12663591,0.5590458,5.790274,1.2373968,-1.1696696,1.8246328,-0.44899565,0.5315667,-1.3364563,-2.318902
random,3.8356822,0.11284889,4.309567,-2.6927915,-3.6213543,2.2775078,-2.4177663,4.8425055,-0.9875607,7.552772,-12.295532,4.4857097,0.9824877,-6.971823,1.0408785,-0.73925984,-3.0267992,-4.8741627,0.07255061,-1.1412903,-3.220078,-1.7062362,-5.199774,0.43493044,8.494798,0.9625043,-2.4505534,0.57857794,1.7722452,-1.4466908,-6.637255,-3.4271226
random,-0.23843293,0.0058904006,0.09411917,-0.09644316,-0.31298262,0.45726258,-0.28431287,0.0020364693,-0.19430876,0.12378818,-0.60651827,-0.2642899,0.29791862,-0.24924542,0.27877524,-0.26831713,-0.06832506,-0.102509886,0.052121136,-0.30478463,-0.610371,-0.14918447,0.02619135,0.04959411,0.6915941,0.21123183,-0.33421558,0.28369826,-0.12884672,0.2280558,-0.22230215,-0.17959243
random,-0.30814776,0.06052266,-0.010159543,0.046400636,-0.76130056,0.65789694,-0.8407361,-0.12541059,-0.5451991,0.17566577,-1.5125673,-0.6702254,0.6889081,-0.55677956,0.54136217,-0.7258676,-0.07609119,-0.32131502,0.052723765,-0.6038901,-1.424965,-0.60101074,-0.06289088,0.38709196,1.9344876,0.4171335,-0.5918104,0.6344832,0.10794845,0.47768122,-0.58052707,-0.5763851
random,-0.4098098,-0.08681333,-0.06518145,-0.1199254,-0.47640935,0.52938867,-0.49794215,-0.07325897,-0.2410423,0.09381476,-0.9977418,-0.34198567,0.44729945,-0.37181276,0.3440084,-0.51949024,-0.0588285,-0.067235515,-0.08909101,-0.66362095,-0.89227784,-0.24007249,-0.035774235,0.0324758,1.305202,0.23008412,-0.468072,0.33961412,-0.17509693,0.48276535,-0.3408695,-0.47352055
random,-0.13506801,0.032719195,-0.06976964,-0.16702837,-0.5091061,0.5369556,-0.5505067,-0.0647569,-0.56356794,0.15860368,-1.0567126,-0.44000304,0.49021623,-0.6082342,0.5585141,-0.46827042,-0.047389783,-0.24545142,0.0596041,-0.51358324,-0.97195584,-0.32336834,0.037891593,0.2900869,1.3651792,0.31494358,-0.4199319,0.56322175,-0.049685907,0.3583378,-0.41649145,-0.45859635
random,-0.2814618,0.017332397,0.043478575,-0.16583243,-0.6674906,0.74358803,-0.65852916,-0.039087538,-0.4417229,0.15456586,-1.3855622,-0.5084758,0.6175873,-0.4999509,0.5457731,-0.65244085,-0.09436985,-0.2183127,0.099477,-0.60835195,-1.3793967,-0.45891917,-0.028642803,0.24256344,1.6621963,0.41811126,-0.64951533,0.69168055,-0.066715576,0.45398998,-0.5252475,-0.5772964
random,-0.37607145,0.01628837,-0.41639692,-0.046438847,-1.9554067,1.6849039,-2.8040257,-0.41241512,-1.1125586,0.77415067,-4.792884,-1.3768804,1.9939094,-1.4109462,1.7651143,-1.7535007,0.050808616,-0.97722554,0.68131685,-1.5583642,-4.5896263,-1.4769162,0.21837045,0.59070516,5.6169972,1.7570851,-2.601399,1.8577048,-0.2314413,1.1842843,-1.9819866,-2.0511448
random,-0.31946996,-0.103242114,-0.2544869,-0.1765808,-0.8392316,0.854506,-1.0816553,-0.15819885,-0.840202,0.43313417,-2.0801837,-0.749704,0.9124917,-1.0281178,0.8906999,-1.0636872,-0.1478139,-0.30464524,0.070865035,-1.0192165,-1.9232002,-0.5787231,-0.057268266,0.4640968,2.7808008,0.5371135,-0.71608937,0.7271584,-0.2323303,0.690612,-0.7635617,-1.0559242
random,-0.18019636,0.11367352,-0.14519121,-0.12028891,-0.36810267,0.38431907,-0.5917222,-0.055172212,-0.43175837,0.30839762,-0.9208103,-0.4239438,0.5359549,-0.7459846,0.42203575,-0.4490597,-0.12947641,-0.27560878,0.032406483,-0.4859175,-0.85636204,-0.37085047,-0.016261745,0.18257087,1.2000754,0.2766303,-0.28160226,0.2734134,-0.078938335,0.2424071,-0.4402169,-0.46019617
random,-0.64045864,0.27393702,0.025611902,-0.799531,-2.2266283,1.8673778,-2.0734293,-0.06766367,-1.6736565,0.3218903,-3.4251022,-1.7662543,1.7166343,-1.8280976,1.2729801,-1.7888182,0.00049721834,-0.4276973,-0.029451624,-2.0498807,-3.6943443,-1.9704547,-0.19804636,0.84444493,4.721312,1.345537,-1.2400655,2.1759427,-0.048411716,1.0136677,-1.3354663,-1.6576221
random,-0.16804443,-0.041170344,0.027483568,-0.060020875,-0.25005946,0.31986406,-0.17839576,-0.0488,-0.21936683,0.1479861,-0.48617652,-0.152938,0.26057833,-0.28803906,0.2520249,-0.30384645,-0.011143932,-0.0083557945,0.030726891,-0.3214779,-0.47321245,-0.10327472,-0.034968846,0.12152074,0.7066782,0.15253536,-0.18157992,0.23743068,-0.15397589,0.23966976,-0.14081576,-0.2204547
random,0.23860209,-0.40626463,-0.32519707,-0.8106638,-1.4194776,1.406789,-1.9390032,0.4521967,-2.5159934,2.4778109,-4.3782268,-0.6530263,2.2470157,-2.7475405,1.5081075,-1.6911308,-1.2107515,-0.65924454,1.0013297,-1.7114606,-3.7305057,-0.59787196,-0.15403764,0.14609158,5.9243956,0.84820944,-0.7762648,1.7154641,-1.0295937,-0.16204135,-0.90472174,-2.9817793
random,-0.35082975,-0.013814255,-0.074703306,-0.09631853,-0.5094901,0.5315858,-0.5328024,0.004215698,-0.29036617,0.18850762,-0.9806024,-0.44490582,0.4955136,-0.4840775,0.3376511,-0.38128698,-0.07296766,-0.123974,-0.034689482,-0.45149827,-0.8910464,-0.18252395,0.015926661,0.10701019,1.2471216,0.24307409,-0.4254088,0.37095365,-0.17547692,0.3333916,-0.40436852,-0.37645465
