title,0,1,2,3,4,5,6,7
random,-0.006539678,0.47241992,-0.73837376,-0.26706624,-2.1590567,2.846344,-2.7770674,-1.043461
random,-0.047015898,2.05318,-2.796124,-2.7612286,-4.871523,5.1826553,-7.3226976,-1.5960261
random,1.4998968,-0.9507967,-10.84184,-4.3306713,-5.727761,7.5646234,-10.642417,2.2646267
random,0.13412057,0.24295522,-0.13043022,-0.17379525,-0.6799347,0.9847482,-0.93216527,-0.24435876
random,0.46649066,0.5747125,-0.51791704,0.0021493288,-2.0121057,2.2169263,-2.4239337,-0.80212504
random,-0.13840656,0.2008993,-0.46257508,-0.24789385,-1.1328963,1.4647605,-1.5985878,-0.6110758
random,0.069509566,0.440688,-0.52753896,-0.55317277,-1.177259,1.7832878,-1.6777885,-0.52399194
random,0.30121744,0.36815608,-0.4512422,-0.31458977,-1.7279962,2.13389,-1.9978904,-0.5798874
random,1.9611071,1.0491377,-2.0605228,-0.17841807,-5.5989823,5.575223,-8.114435,-1.9870349
random,0.3318357,0.77695405,-1.0916486,-0.45394176,-2.4996507,3.0814724,-3.338024,-1.2756377
random,0.05612731,0.6576863,-0.5510845,-0.3798772,-1.029114,1.3379296,-1.5334169,-0.65066725
random,0.6920442,2.3447888,-0.966032,-1.7069867,-5.927304,4.9331603,-5.9924545,-1.2641718
random,0.13727488,0.2083414,-0.08470656,-0.13642141,-0.65179634,0.92420596,-0.76832366,-0.20280656
random,-0.78209627,1.063911,-3.35786,-3.1109715,-4.5305085,4.8797355,-7.6797395,-0.9327602
random,0.18888134,0.42475525,-0.52048504,-0.47552422,-1.0528891,1.4128963,-1.3782972,-0.61426353
random,0.7080291,0.43959647,-0.7511206,-0.569395,-2.1284451,2.5889,-2.753457,-0.5516513
random,0.49163306,1.1066647,-1.7744058,-1.3863872,-3.6878986,4.470589,-4.7563553,-1.1546742
random,0.29286388,0.51623756,-0.4146775,-0.2054596,-1.1527834,1.4934064,-1.4982163,-0.4609584
random,-0.013450509,1.3550638,-2.0711513,-1.6853522,-4.950407,4.970437,-6.2326255,-1.0228516
random,0.049724873,2.3855753,-2.372153,-2.38026,-4.443176,5.5384784,-6.808852,-1.0141171
random,0.8778271,1.1004001,-1.5245309,-1.6622485,-2.652526,3.643379,-4.632609,-0.8385518
random,-0.09299841,0.6138486,-0.5096143,-0.5119684,-1.5314724,1.9527979,-1.8704501,-0.7250465
random,0.61851543,0.47495732,-1.5213649,0.13571551,-4.006576,4.3847795,-6.000924,-1.08567
random,1.0050404,0.9474229,-3.315425,-2.4927938,-3.7972295,5.182911,-6.961504,-0.16255566
random,-0.76462156,1.6197059,-1.5843228,-1.2156085,-2.557357,2.5357053,-3.2232993,-0.25220114
random,-0.06452928,0.5198117,-1.3515555,-0.6836654,-2.6490593,3.1190615,-3.751044,-0.91914296
random,-0.15384446,1.4423763,-1.2178011,-1.1338974,-2.3644767,3.0744479,-3.6554878,-1.8184427
random,0.171399,0.27265656,-0.42164925,-0.029394189,-0.8370883,1.128586,-1.3245424,-0.3380962
random,0.107103355,0.26431805,-0.40759045,-0.09855244,-0.89428043,1.3192111,-1.3638341,-0.4091398
random,0.4321891,0.83435506,-1.164098,-0.64307135,-2.4673867,3.519836,-3.436645,-1.0827459
random,-0.023849782,0.40760484,-0.45537445,-0.4706398,-1.316026,1.4749832,-1.6630824,-0.70264435
random,0.15880914,0.18217434,-0.010132961,-0.0455286,-0.64269054,0.79780734,-0.760874,-0.38687685
random,-0.1340256,0.9515867,-0.84313065,-0.49092448,-2.7901618,3.3464408,-3.766554,-1.6600505
random,0.8200856,2.4432664,-1.6395448,-1.3472176,-4.7371364,4.1361814,-5.5315375,-1.5644454
random,0.2227393,0.25445336,-0.3867735,-0.2411927,-1.2746447,1.7669078,-1.5496644,-0.6274808
random,0.6588496,0.9666879,-1.687628,-1.4385406,-3.0442395,3.5801663,-4.244652,-0.7204856
random,-0.06824645,0.8461484,-0.89673007,-0.3386394,-2.5176558,2.9055548,-2.8771093,-0.8553027
random,0.11553973,0.25654703,-0.2750172,-0.09408978,-0.4372572,0.5477235,-0.7442498,-0.19838773
random,0.31547406,0.32487604,-0.42548063,-0.05077239,-1.7469995,2.1765418,-2.1392202,-0.78359073
random,0.017690593,0.16350234,-0.51877177,-0.06324635,-1.1731534,1.4709773,-1.3660808,-0.49920544
random,0.3088521,0.23698941,-0.30522615,-0.136911,-1.0448613,1.4352205,-1.3308976,-0.47597638
random,0.21472926,1.0146948,-1.1255723,-0.4379752,-2.8171914,3.782894,-4.1778626,-1.6305916
random,0.3716593,0.381691,-1.3730208,-0.72380006,-3.0557783,3.8039165,-3.607808,-0.7299187
random,0.3224993,0.54275084,-0.8307571,-0.56202745,-1.8017905,2.2286084,-2.3116238,-0.6674656
random,-0.69329876,1.9596101,-2.3980675,-3.3934228,-4.3795815,4.897439,-6.182258,-1.3018965
random,0.29769647,0.5637097,-0.72004735,-0.46760762,-1.5695436,2.2487657,-2.2875822,-0.96616447
random,0.28335154,0.5077497,-0.4918957,-0.323803,-1.3976208,1.8141338,-1.8851211,-0.5970485
random,1.7090868,1.8974878,-3.0032866,-3.452165,-6.229855,6.919904,-7.860974,0.05467856
random,-0.24483792,3.522601,-3.6187124,-3.604378,-6.147382,6.1061554,-7.8976717,-0.7581788
random,0.6303599,1.9900583,-1.9973036,-1.8646499,-3.955444,4.579883,-5.9944463,-1.2360607
random,0.00444097,0.21608752,-0.2665758,-0.2527503,-0.7495667,1.0533266,-1.0547602,-0.35710198
random,-0.28358632,0.72571325,-1.5695862,-1.2845737,-2.8662193,3.9451895,-4.0346913,-1.3461314
random,0.5025602,0.92959744,-2.5355706,-1.1282102,-5.076666,5.0949244,-6.264397,-0.86256546
random,1.1878031,1.0203962,-0.43350577,-0.47100365,-2.4706466,2.7551427,-3.2344608,-0.7928028
random,-0.10218493,0.4824594,-0.6201518,-0.16556318,-1.6033944,1.9408606,-2.0329256,-0.7925617
random,0.32231253,1.7734278,-2.635775,-2.4251032,-4.228663,5.655241,-6.220811,-2.0060687
random,-1.0243815,0.76618505,-1.7472931,-0.37010747,-4.245722,3.795066,-4.147668,-1.524868
random,0.07906483,0.31065425,-0.27677426,0.07178665,-0.7837522,1.1165748,-0.98585105,-0.21114485
random,0.48260418,0.14095625,-3.0556252,-1.3346984,-6.149943,5.737383,-8.179454,0.13962385
random,0.14018953,1.649733,-1.1801192,-1.2081976,-3.8358665,3.719109,-3.8138757,-0.9286393
random,0.5019417,0.66271174,-1.0710495,-0.5741449,-1.8615903,2.098407,-2.5577838,-0.41250843
random,0.09742676,0.4158606,-0.48261827,-0.20510483,-1.1524884,1.6132078,-1.4926212,-0.6680198
random,0.34675682,0.85108995,-0.7940121,0.08053447,-2.8213844,3.1776185,-4.0615892,-0.5802442
random,0.13255082,0.5829915,-1.1525264,-0.75688916,-2.0929615,2.5814788,-2.9471374,-0.46470466
random,0.9360949,1.2732285,-2.2518315,-2.242465,-6.063574,6.6183257,-6.89574,-1.3972648
